,brand,model,selling_price,km_driven,fuel,mileage,engine,seats,No_of_years
31,Hyundai,i20 1.2 Asta Dual Tone,730000,2388,Petrol,18.6,1197.0,5,5
32,Maruti,Vitara Brezza LDi,650000,16200,Diesel,24.3,1248.0,5,6
33,Maruti,Alto 800 CNG LXI Optional,330000,10000,CNG,33.44,796.0,4,4
34,Maruti,Alto K10 VXI Airbag,366000,15000,Petrol,23.95,998.0,5,4
35,Hyundai,Verna VTVT 1.6 SX Option,1149000,5000,Petrol,17.0,1591.0,5,4
36,Datsun,GO D,150000,42000,Petrol,20.63,1198.0,5,7
37,Tata,Safari DICOR 2.2 LX 4x2,425000,60000,Diesel,13.93,2179.0,7,12
38,Maruti,800 Std,150000,76000,Petrol,16.1,796.0,4,11
39,Jeep,Compass 1.4 Limited Plus BSIV,2100000,5000,Petrol,16.0,1368.0,5,4
40,Honda,City i VTEC VX,925000,28900,Petrol,17.8,1497.0,5,5
41,Honda,City V MT,425000,86300,Petrol,16.8,1497.0,5,10
42,Maruti,Swift Dzire VXi AT,675000,23300,Petrol,18.5,1197.0,5,5
43,Maruti,Vitara Brezza VDi,819999,32600,Diesel,24.3,1248.0,5,5
44,Maruti,Alto K10 VXI,390000,10300,Petrol,23.95,998.0,5,5
45,Toyota,Fortuner 4x4 MT,1500000,77000,Diesel,12.55,2982.0,7,9
46,Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV,700000,99000,Diesel,12.99,2494.0,7,10
47,Mercedes-Benz,B Class B180,1450000,27800,Diesel,14.8,2143.0,5,9
48,Honda,Amaze S Diesel,425000,49800,Diesel,24.7,1498.0,5,8
49,Mitsubishi,Pajero Sport 4X4,1090000,151000,Diesel,13.5,2477.0,7,10
50,Honda,City i DTEC S,600000,54700,Diesel,26.0,1498.0,5,8
51,Maruti,Ciaz Zeta,850000,64000,Petrol,20.65,1462.0,5,5
52,Honda,Jazz VX Diesel,525000,63000,Diesel,27.3,1498.0,5,8
53,Toyota,Innova Crysta 2.8 ZX AT BSIV,1650000,127700,Diesel,11.36,2755.0,7,7
54,Toyota,Innova 2.5 G (Diesel) 7 Seater,950000,99000,Diesel,12.99,2494.0,7,7
55,Audi,A6 2.0 TDI Technology,1750000,33900,Diesel,17.68,1968.0,5,10
56,Toyota,Corolla Altis 1.8 VL CVT,1590000,25000,Petrol,14.28,1798.0,5,5
57,Audi,A6 2.0 TDI  Design Edition,1689999,50000,Diesel,18.53,1968.0,5,10
58,Mercedes-Benz,New C-Class 220 CDI AT,1425000,59000,Diesel,14.84,2143.0,5,10
59,Tata,Manza ELAN Quadrajet BS IV,265000,120000,Diesel,21.12,1248.0,5,12
60,Hyundai,i10 Magna,190000,110000,Petrol,20.36,1197.0,5,12
61,Hyundai,i20 Asta 1.4 CRDi,425000,60000,Diesel,21.27,1396.0,5,10
62,Maruti,Swift Dzire ZDI,630000,147000,Diesel,26.59,1248.0,5,8
63,Ford,Figo 1.2P Titanium MT,600000,25000,Petrol,18.16,1196.0,5,6
64,Maruti,Baleno Delta 1.2,650000,30000,Petrol,21.4,1197.0,5,4
65,Volkswagen,meo 1.5 TDI Highline 16 Alloy,540000,40000,Diesel,22.0,1498.0,5,7
66,Honda,City i DTEC VX,630000,135000,Diesel,25.1,1498.0,5,8
67,Maruti,Wagon R AMT VXI,448000,30000,Petrol,20.51,998.0,5,5
68,Volkswagen,meo 1.5 TDI Comfortline,500000,80000,Diesel,21.66,1498.0,5,6
69,Maruti,Vitara Brezza VDi,745000,70000,Diesel,24.3,1248.0,5,7
70,Maruti,Vitara Brezza ZDi Plus AMT,1025000,9850,Diesel,24.3,1248.0,5,4
71,Hyundai,i10 Magna,235000,60000,Petrol,20.36,1197.0,5,12
72,Maruti,Swift VDI Deca,630000,70000,Diesel,25.2,1248.0,5,7
73,Toyota,Fortuner 4x4 MT,1700000,78000,Diesel,12.55,2982.0,7,8
74,Maruti,Swift Star VDI,450000,120000,Diesel,22.9,1248.0,5,10
75,Maruti,Ertiga ZXI,450000,120000,Petrol,16.02,1373.0,7,11
76,Volkswagen,ento Diesel Highline,450000,170000,Diesel,20.54,1598.0,5,10
77,Toyota,Innova 2.5 VX (Diesel) 8 Seater,1200000,140000,Diesel,12.99,2494.0,8,7
78,Ford,EcoSport 1.5 TDCi Titanium Plus BSIV,610000,90000,Diesel,22.77,1498.0,5,8
79,BMW,X1 sDrive20i xLine,2500000,30000,Petrol,15.71,1998.0,5,7
80,Maruti,Celerio ZXI MT BSIV,484999,10000,Petrol,23.1,998.0,5,6
81,Datsun,GO A Petrol,275000,49000,Petrol,19.02,1198.0,5,7
82,Maruti,Alto 800 VXI BSIV,315000,32000,Petrol,24.7,796.0,5,7
83,Maruti,Alto 800 LXI BSIV,275000,38000,Petrol,24.7,796.0,5,7
84,Hyundai,i10 Era 1.1,290000,28000,Petrol,19.81,1086.0,5,11
85,Maruti,Omni 8 Seater BSIV,280000,32000,Petrol,14.0,796.0,5,6
86,Maruti,Wagon R LXI LPG BSIV,225000,44000,LPG,26.2,998.0,5,13
87,Volkswagen,olo 1.2 MPI Comfortline,455000,42000,Petrol,16.47,1198.0,5,8
88,Hyundai,i10 Magna 1.1L,351000,45000,Petrol,19.81,1086.0,5,8
89,Volkswagen,ento Petrol Highline,535000,12000,Petrol,15.04,1598.0,5,11
90,Maruti,Zen Estilo LXI BSIII,175000,55500,Petrol,18.2,998.0,5,14
91,Hyundai,i20 Asta Optional with Sunroof 1.2,525000,61500,Petrol,18.5,1197.0,5,10
92,Maruti,Swift Dzire LDI,600000,150000,Diesel,26.59,1248.0,5,7
93,Hyundai,Xcent 1.2 Kappa SX Option AT,565000,72000,Petrol,19.1,1197.0,5,7
94,Maruti,Alto LX BSIII,120000,68000,Petrol,19.7,796.0,5,15
95,Hyundai,i20 1.4 Asta Option,725000,110000,Diesel,22.54,1396.0,5,6
96,Maruti,Wagon R VXI,185000,77000,Petrol,21.79,998.0,5,14
97,Tata,Manza Aura (ABS) Quadrajet,200000,100000,Diesel,18.8,1248.0,5,13
98,Maruti,Swift VXI,615000,10000,Petrol,21.21,1197.0,5,4
99,Maruti,Eeco 7 Seater Standard BSIV,270000,100000,Petrol,15.37,1196.0,7,7
100,Maruti,Baleno Zeta 1.2,610000,35000,Petrol,21.4,1197.0,5,5
101,Mahindra,Scorpio VLX AT AIRBAG BSIV,625000,70000,Diesel,11.79,2179.0,8,9
102,Ford,Freestyle Titanium Petrol BSIV,400000,5000,Petrol,19.0,1194.0,5,3
103,Hyundai,Verna VTVT 1.6 SX,866000,37800,Petrol,17.0,1591.0,5,6
104,Volkswagen,assat 1.8 TSI MT,700000,114000,Petrol,14.3,1798.0,5,13
105,Tata,Indica Vista Aura 1.2 Safire (ABS) BS IV,300000,48000,Petrol,15.8,1172.0,5,13
106,Mahindra,XUV500 W11 Option AWD,1700000,32000,Diesel,15.1,2179.0,7,4
107,Tata,Indigo CS LS (TDI) BS-III,375000,100000,Diesel,19.09,1405.0,5,7
108,Hyundai,Verna 1.6 SX,522000,150000,Diesel,22.32,1582.0,5,10
109,Hyundai,i20 Magna 1.4 CRDi (Diesel),451999,69000,Diesel,21.9,1396.0,5,10
110,Toyota,Corolla Altis G,300000,100000,Petrol,14.53,1798.0,5,14
111,Maruti,Celerio VXI,475000,13000,Petrol,21.63,998.0,5,3
112,Maruti,Vitara Brezza ZDi Plus Dual Tone,780000,60000,Diesel,24.3,1248.0,5,7
113,Maruti,Swift Dzire VXI,595000,40000,Petrol,20.85,1197.0,5,6
114,Maruti,Wagon R VXI BS IV,440000,35000,Petrol,20.51,998.0,5,6
115,Nissan,Terrano XL 85 PS,400000,70000,Diesel,20.45,1461.0,5,9
116,Hyundai,Creta 1.6 CRDi SX,1140000,50000,Diesel,19.67,1582.0,5,7
117,Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,850000,76139,Diesel,23.0,1498.0,5,6
118,Maruti,Swift Dzire VDi,370000,175000,Diesel,19.3,1248.0,5,11
119,Renault,KWID 1.0,350000,25000,Petrol,23.01,999.0,5,5
120,Maruti,Celerio VXI,360000,40000,Petrol,23.1,998.0,5,8
121,Maruti,Alto LXi,105000,65000,Petrol,19.7,796.0,5,15
122,Maruti,Ertiga VDI,625000,90000,Diesel,20.77,1248.0,7,10
123,Hyundai,Santro Xing GLS,135000,80000,Petrol,17.92,1086.0,5,14
124,Maruti,Ertiga VDI,700000,110000,Diesel,20.77,1248.0,7,8
125,Honda,Amaze S i-VTEC,690000,1303,Petrol,17.8,1198.0,5,4
126,Audi,Q5 35TDI Premium Plus,3975000,31800,Diesel,17.01,1968.0,5,5
127,Lexus,ES 300h,5150000,20000,Petrol,22.37,2487.0,5,4
128,Jaguar,XF 2.0 Diesel Portfolio,3200000,45000,Diesel,19.33,1999.0,5,6
129,Jeep,Wrangler 2016-2019 3.6 4X4,4100000,17000,Petrol,9.5,3604.0,5,6
130,Land,Rover Discovery Sport TD4 SE,4500000,21000,Diesel,12.83,1999.0,7,4
131,Mercedes-Benz,S-Class S 350 CDI,6000000,37000,Diesel,13.5,2987.0,5,6
132,BMW,5 Series 520d Sport Line,3790000,29500,Diesel,22.48,1995.0,5,5
133,BMW,X4 M Sport X xDrive20d,5800000,7500,Diesel,16.78,1995.0,5,4
134,Skoda,Superb LK 1.8 TSI AT,1864999,50000,Petrol,14.67,1798.0,5,5
135,Mercedes-Benz,E-Class E250 Edition E,2700000,35000,Diesel,15.0,2143.0,5,7
136,MG,Hector Sharp AT BSIV,1750000,19000,Petrol,13.96,1451.0,5,4
137,Honda,City i-VTEC CVT VX,795000,41000,Petrol,18.0,1497.0,5,6
138,Toyota,Corolla Altis 1.8 G CVT,625000,39000,Petrol,14.28,1798.0,5,10
139,Volvo,XC40 D4 R-Design,3400000,22000,Diesel,18.0,1969.0,5,5
140,Audi,Q7 35 TDI Quattro Premium,2650000,53000,Diesel,12.07,2967.0,7,8
141,Maruti,Ciaz ZDi,535000,40000,Diesel,26.21,1248.0,5,8
142,Mercedes-Benz,S-Class S 350 CDI,5850000,47000,Diesel,13.5,2987.0,5,6
143,BMW,5 Series 523i,975000,72200,Petrol,10.8,2497.0,5,13
144,Hyundai,Elantra S,805000,49900,Petrol,16.3,1797.0,5,7
145,Jaguar,XE 2016-2019 2.0L Diesel Prestige,2625000,9000,Diesel,13.6,1999.0,5,6
146,Tata,Nexon 1.2 Revotron XZ Plus Dual Tone,811000,11000,Petrol,17.0,1198.0,5,5
147,Volkswagen,ento Petrol Highline,375000,49000,Petrol,15.04,1598.0,5,12
148,Hyundai,Elantra SX,550000,95000,Petrol,16.3,1797.0,5,11
149,Skoda,Rapid 1.6 MPI AT Elegance,645000,11000,Petrol,14.3,1598.0,5,7
150,Mercedes-Benz,CLA 200 CGI Sport,2550000,18000,Petrol,15.04,1991.0,5,5
151,Maruti,Ertiga ZXI,599000,46100,Petrol,16.02,1373.0,7,9
152,Mercedes-Benz,New C-Class C 200 AVANTGARDE,2700000,16000,Petrol,14.74,1991.0,5,6
153,Honda,City V AT,875000,18000,Petrol,15.6,1497.0,5,6
154,Toyota,Glanza V CVT,894999,9654,Petrol,19.56,1197.0,5,4
155,Maruti,Alto K10 VXI,175000,11000,Petrol,23.95,998.0,5,12
156,Maruti,Swift VXI,340000,24300,Petrol,21.21,1197.0,5,11
157,Toyota,Innova Crysta 2.8 ZX AT BSIV,1525000,42163,Diesel,11.36,2755.0,7,7
158,Tata,Nexon 1.5 Revotorq XZA Plus DualTone,1025000,8000,Diesel,21.5,1497.0,5,5
159,BMW,3 Series 320d Luxury Line,2150000,30000,Diesel,22.69,1995.0,5,7
160,Toyota,Camry 2.5 Hybrid,1900000,41000,Petrol,19.16,2494.0,5,7
161,BMW,5 Series 520d Luxury Line,2900000,12000,Diesel,18.12,1995.0,5,7
162,Toyota,Camry W4 (AT),450000,71000,Petrol,12.1,2362.0,5,14
163,Maruti,Ertiga BSIV ZXI Plus,850000,20000,Petrol,17.5,1373.0,7,7
164,Volvo,XC90 T8 Excellence BSIV,10000000,30000,Petrol,42.0,1969.0,4,6
165,Volkswagen,ento Diesel Highline,300000,100000,Diesel,20.54,1598.0,5,12
166,Ford,Figo Aspire 1.2 Ti-VCT Trend,575000,9500,Petrol,18.16,1196.0,5,5
167,Ford,Figo Diesel LXI,160000,120000,Diesel,20.0,1399.0,5,12
168,Maruti,Swift VXI Optional,515000,36600,Petrol,20.4,1197.0,5,8
169,Maruti,Wagon R AMT VXI,390000,50000,Petrol,20.51,998.0,5,8
170,Hyundai,i20 Magna 1.2,550000,14000,Petrol,18.6,1197.0,5,7
171,Maruti,800 Std,40000,40000,Petrol,16.1,796.0,4,24
172,Maruti,Ritz VDi,220000,120000,Diesel,21.1,1248.0,5,13
173,Hyundai,Grand i10 Magna,425000,70000,Petrol,18.9,1197.0,5,8
174,Volkswagen,meo 1.0 MPI Trendline,480000,13000,Petrol,19.44,999.0,5,4
175,Hyundai,Grand i10 Sportz,400000,60000,Petrol,18.9,1197.0,5,9
176,Maruti,Swift Dzire VXI,487000,35000,Petrol,19.1,1197.0,5,9
177,Hyundai,Xcent 1.2 Kappa S,386000,44000,Petrol,19.1,1197.0,5,7
178,Honda,City 1.5 EXI,100000,120000,Petrol,13.0,1493.0,5,18
179,Toyota,Corolla Altis Diesel D4DG,300000,60000,Diesel,21.43,1364.0,5,13
180,Daewoo,Matiz SD,100000,60000,Petrol,18.5,796.0,5,23
181,Toyota,Fortuner 4x2 Manual,1750000,30000,Diesel,13.0,2982.0,7,9
182,Mahindra,KUV 100 mFALCON G80 K8,450000,15000,Petrol,18.15,1198.0,6,7
183,Tata,Zest Quadrajet 1.3 75PS XM,490000,90000,Diesel,22.95,1248.0,5,6
184,Honda,City 1.5 S MT,345000,47000,Petrol,17.0,1497.0,5,14
185,Maruti,Zen LXI,85000,90000,Petrol,17.3,993.0,5,18
186,Maruti,Wagon R VXI BS IV with ABS,215000,120600,Petrol,18.9,998.0,5,13
187,Hyundai,Verna Transform SX VTVT,320000,100000,Petrol,16.2,1599.0,5,13
188,Maruti,Swift Dzire VXI,459999,60000,Petrol,20.85,1197.0,5,7
189,Hyundai,Getz GLS,65000,86000,Petrol,15.3,1341.0,5,18
190,Hyundai,Elite i20 Sportz Plus BSIV,720000,5000,Petrol,18.6,1197.0,5,3
191,Maruti,Ciaz 1.3 Alpha,800000,37000,Diesel,28.09,1248.0,5,6
192,Tata,Tigor 1.2 Revotron XZ,520000,14000,Petrol,20.3,1199.0,5,4
193,Maruti,Ertiga VDI,580000,70000,Diesel,20.77,1248.0,7,8
194,Honda,City i VTEC S,600000,50000,Petrol,17.4,1497.0,5,8
195,Honda,Brio S MT,290000,60000,Petrol,19.4,1198.0,5,9
196,Maruti,Wagon R LXI CNG,360000,50000,CNG,26.6,998.0,5,7
197,Maruti,Swift Dzire VXI,550000,50000,Petrol,20.85,1197.0,5,6
198,Hyundai,i20 Sportz 1.2,375000,70000,Petrol,18.5,1197.0,5,10
199,Maruti,Wagon R AMT VXI,420000,35000,Petrol,20.51,998.0,5,5
200,Maruti,Swift Dzire VXI 1.2,550000,20000,Petrol,21.21,1197.0,5,6
201,Maruti,Alto 800 LXI,270000,20000,Petrol,24.7,796.0,5,5
202,Maruti,Swift Dzire AMT VXI BS IV,700000,7800,Petrol,22.0,1197.0,5,5
203,Maruti,Swift VXI Optional,500000,20000,Petrol,20.4,1197.0,5,6
204,Tata,Hexa XE,1250000,15000,Diesel,17.6,2179.0,7,4
205,Hyundai,i20 Magna,320000,31377,Petrol,18.5,1197.0,5,10
206,Maruti,Swift Dzire VDI,700000,50000,Diesel,28.4,1248.0,5,5
207,Maruti,Wagon R VXI BS IV,290000,60000,Petrol,20.51,998.0,5,8
208,Toyota,Corolla Altis 1.8 VL AT,550000,100000,Petrol,14.53,1794.0,5,11
209,Honda,Brio S MT,265000,60000,Petrol,19.4,1198.0,5,11
210,Maruti,Baleno Alpha Automatic,830000,5000,Petrol,21.4,1197.0,5,5
211,Tata,Safari Storme EX,800000,60000,Diesel,14.1,2179.0,7,6
212,Maruti,Alto LXi,160000,25000,Petrol,19.7,796.0,5,12
213,Renault,KWID RXT,335000,30000,Petrol,25.17,799.0,5,5
214,Datsun,GO T BSIV,329000,80000,Petrol,20.63,1198.0,5,6
215,Maruti,Vitara Brezza VDi Option,775000,75000,Diesel,24.3,1248.0,5,6
216,Hyundai,Xcent 1.2 VTVT SX,524000,32000,Petrol,20.14,1197.0,5,3
217,Maruti,Alto 800 LXI,245000,40000,Petrol,22.74,796.0,5,8
218,Hyundai,i20 1.2 Sportz,275000,93000,Petrol,17.0,1197.0,5,11
219,Tata,Zest Revotron 1.2 XT,520000,60000,Petrol,17.57,1193.0,5,5
220,Nissan,Sunny XL,550000,37000,Petrol,16.95,1498.0,5,9
221,Ford,EcoSport 1.5 Petrol Titanium Plus BSIV,910000,15000,Petrol,17.0,1497.0,5,5
222,Nissan,Micra Active XV S,300000,80000,Petrol,19.49,1198.0,5,8
223,Maruti,Wagon R LXI Optional,350000,140000,Petrol,20.51,998.0,5,7
224,Mahindra,Ssangyong Rexton RX5,900000,70000,Diesel,12.83,2696.0,7,10
225,Mahindra,Quanto C8,300000,120000,Diesel,17.21,1493.0,7,10
226,Maruti,Ritz LDi,250000,110000,Diesel,21.1,1248.0,5,13
227,Hyundai,Creta 1.6 CRDi SX Plus Dual Tone,1100000,37000,Diesel,19.67,1582.0,5,6
228,Renault,KWID RXT,270000,44000,Petrol,25.17,799.0,5,7
229,Maruti,Ertiga VDI,640000,80000,Diesel,20.77,1248.0,7,8
230,Mahindra,XUV500 W4,650000,125000,Diesel,15.1,2179.0,7,8
231,Maruti,Eeco 5 Seater AC BSIV,409999,13500,Petrol,15.37,1196.0,5,6
232,Hyundai,Santro Xing GLS,165000,75000,Petrol,17.92,1086.0,5,12
233,Hyundai,Accent GLE,80000,120000,Petrol,13.2,1495.0,5,16
234,Mahindra,XUV500 W8 2WD,535000,120000,Diesel,15.1,2179.0,7,11
235,Toyota,Innova 2.5 EV (Diesel) PS 7 Seater BS IV,700000,70000,Diesel,12.99,2494.0,7,10
236,Maruti,Swift Dzire VDI,550000,70000,Diesel,23.4,1248.0,5,10
237,Honda,Amaze S CVT Petrol BSIV,680000,15000,Petrol,19.0,1199.0,5,4
238,Hyundai,i10 Sportz 1.2,200000,53000,Petrol,20.36,1197.0,5,14
239,Maruti,Swift Dzire VDI,500000,120000,Diesel,23.4,1248.0,5,9
240,Maruti,Ertiga SHVS ZDI Plus,1000000,70000,Diesel,24.52,1248.0,7,7
241,Hyundai,Getz 1.3 GVS,110000,120000,Petrol,14.2,1341.0,5,15
242,Hyundai,i20 1.2 Magna,320000,100000,Petrol,18.5,1197.0,5,11
243,Maruti,Swift LXI Optional-O,350000,100000,Petrol,20.4,1197.0,5,8
244,Tata,Indica Vista TDI LS,170000,162500,Diesel,19.4,1405.0,5,10
245,Hyundai,i20 2015-2017 Asta 1.4 CRDi,800000,39000,Diesel,22.54,1396.0,5,6
246,Maruti,Ignis 1.3 Alpha,500000,75000,Diesel,26.8,1248.0,5,6
247,Tata,Hexa XTA,1380000,50000,Diesel,17.6,2179.0,7,6
248,Mahindra,Marazzo M6 8Str,1300000,40000,Diesel,17.3,1497.0,8,4
249,Hyundai,Verna 1.6 CRDI,530000,92500,Diesel,22.32,1582.0,5,10
250,Maruti,Swift Dzire VDI,360000,158000,Diesel,23.4,1248.0,5,11
251,Maruti,Swift Dzire LDi,310000,120000,Diesel,19.3,1248.0,5,11
252,Honda,City i DTEC V,725000,50000,Diesel,26.0,1498.0,5,8
253,Maruti,Swift Dzire ZDi,340000,110000,Diesel,19.3,1248.0,5,11
254,Hyundai,Xcent 1.2 CRDi E,550000,2000,Diesel,25.4,1186.0,5,6
255,Toyota,Fortuner 3.0 Diesel,1150000,181000,Diesel,11.5,2982.0,7,12
256,Tata,Tiago 1.05 Revotorq XZ,380000,70000,Diesel,27.28,1047.0,5,7
257,Nissan,Sunny XL AT Special Edition,350000,90000,Petrol,17.97,1498.0,5,10
258,Hyundai,Elite i20 Magna Plus BSIV,610000,2000,Petrol,18.6,1197.0,5,4
259,Maruti,Swift Dzire VXI,525000,20000,Petrol,20.85,1197.0,5,8
260,Toyota,Innova 2.5 GX 7 STR,480000,120000,Diesel,12.8,2494.0,7,12
261,Mahindra,Thar CRDe,780000,35000,Diesel,16.55,2498.0,6,6
262,Maruti,Swift Dzire ZDi,320000,193000,Diesel,19.3,1248.0,5,11
263,Maruti,Swift 1.2 DLX (Only Delhi),375000,80000,Petrol,20.4,1197.0,5,9
264,Datsun,GO D Petrol,300000,40000,Petrol,19.02,1198.0,5,4
265,Hyundai,i20 Asta 1.4 CRDi,500000,70000,Diesel,22.54,1396.0,5,8
266,Mahindra,Scorpio LX,404000,122358,Diesel,12.05,2179.0,9,12
267,Tata,Sumo Gold EX BSIII,500000,75000,Diesel,14.07,2956.0,7,8
268,Tata,Tiago Wizz 1.05 Revotorq,350000,120000,Diesel,27.28,1047.0,5,6
269,Tata,Zest Revotron 1.2 XT,380000,40000,Petrol,17.57,1193.0,5,8
270,Hyundai,Accent GLE,114999,95200,Petrol,13.2,1495.0,5,15
271,Honda,Brio Exclusive Edition,335000,33033,Petrol,19.4,1198.0,5,9
272,Hyundai,Grand i10 AT Asta,465000,63063,Petrol,18.9,1197.0,5,8
273,Tata,Manza Club Class Quadrajet90 LX,290000,60000,Diesel,21.02,1248.0,5,11
274,Maruti,Alto LX,110000,45000,Petrol,19.7,796.0,5,18
275,Tata,New Safari DICOR 2.2 EX 4x2,450000,80000,Diesel,11.57,2179.0,7,12
276,Mahindra,Bolero SLE,400000,170000,Diesel,13.6,2523.0,7,14
277,Mahindra,Bolero DI DX 7 Seater,210000,207890,Diesel,13.6,2523.0,7,16
278,Mercedes-Benz,GL-Class 220d 4MATIC Sport,4600000,7976,Diesel,17.9,2143.0,5,5
279,Maruti,Omni E MPI STD BS IV,220000,35000,Petrol,16.8,796.0,8,7
280,Hyundai,Grand i10 Sportz,450000,35000,Petrol,18.9,1197.0,5,6
281,Hyundai,Grand i10 Sportz,450000,35000,Petrol,18.9,1197.0,5,6
282,Hyundai,i10 Sportz AT,290000,50000,Petrol,16.95,1197.0,5,10
283,Maruti,Swift VXI Deca,520000,20000,Petrol,20.4,1197.0,5,7
284,Hyundai,i10 Sportz AT,265000,20000,Petrol,16.95,1197.0,5,12
285,Maruti,Swift VXI,330000,50000,Petrol,18.6,1197.0,5,11
286,Maruti,Swift VXI,330000,50000,Petrol,18.6,1197.0,5,11
287,Mahindra,Bolero 2011-2019 ZLX,509999,120000,Diesel,15.96,2523.0,7,9
288,Hyundai,Verna 1.6 SX VTVT (O),500000,70000,Petrol,17.1,1591.0,5,9
289,Hyundai,i20 Active 1.2,525000,50000,Petrol,17.19,1197.0,5,8
290,Maruti,Baleno Zeta,675000,16500,Petrol,21.01,1197.0,5,4
291,Hyundai,i20 1.2 Asta,300000,70000,Petrol,17.0,1197.0,5,13
292,Maruti,Alto LXI,90000,99361,Petrol,19.7,796.0,5,18
293,Maruti,Swift Dzire VDI,650000,25000,Diesel,26.59,1248.0,5,6
294,Maruti,Swift Dzire VXI,409000,70000,Petrol,19.1,1197.0,5,9
295,Hyundai,Grand i10 CRDi Sportz,395000,80000,Diesel,24.0,1120.0,5,8
296,Maruti,Swift Dzire VXI,400000,70000,Petrol,19.1,1197.0,5,9
297,Chevrolet,Beat LS,120000,60000,Petrol,18.6,1199.0,5,11
298,Tata,Tigor 1.2 Revotron XZA,645000,10000,Petrol,20.3,1199.0,5,5
299,Maruti,800 Std,81000,80000,Petrol,16.1,796.0,4,17
300,Honda,City i-DTEC VX,1300000,30000,Diesel,25.6,1498.0,5,6
301,Honda,City i-DTEC VX,1250000,33000,Diesel,25.6,1498.0,5,6
302,Maruti,Ertiga VXI,535000,90000,Petrol,16.02,1373.0,7,10
303,Nissan,Terrano XV Premium 110 PS,555000,80100,Diesel,19.01,1461.0,5,9
304,Honda,City i VTEC VX,725000,120000,Petrol,17.4,1497.0,5,9
305,Renault,KWID RXL,229999,40000,Petrol,25.17,799.0,5,7
306,Toyota,Innova 2.5 GX (Diesel) 8 Seater,800000,160000,Diesel,12.99,2494.0,8,10
307,Maruti,Wagon R VXI BS IV,409999,47000,Petrol,20.51,998.0,5,6
308,Hyundai,Creta 1.4 CRDi S Plus,1210000,25000,Diesel,21.38,1396.0,5,5
309,Tata,Tiago 1.2 Revotron XZ,400000,26000,Petrol,23.84,1199.0,5,6
310,Hyundai,Grand i10 1.2 CRDi Sportz,520000,29000,Diesel,24.0,1186.0,5,5
311,Maruti,Baleno Zeta Automatic,650000,50000,Petrol,21.4,1197.0,5,7
312,Maruti,Swift ZXI ABS,325000,58000,Petrol,16.1,1298.0,5,12
313,Maruti,Swift Dzire VXi AT,420000,120000,Petrol,17.4,1197.0,5,11
314,Maruti,Swift LXI Option,400000,50000,Petrol,20.4,1197.0,5,9
